Name,Review,Date,Star Rating
Chan F.,I give  [Upgrade to see in full],7/8/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Wendy N [Upgrade to see in full],This is [Upgrade to see in full],3/4/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Samson  [Upgrade to see in full],So it's [Upgrade to see in full],2/27/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Sinan L [Upgrade to see in full],Nice lo [Upgrade to see in full],8/1/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Kamal M [Upgrade to see in full],The dec [Upgrade to see in full],7/30/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Jeimy C [Upgrade to see in full],Yasssss [Upgrade to see in full],6/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jeana H [Upgrade to see in full],This pl [Upgrade to see in full],2/8/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Jim B.,Don't w [Upgrade to see in full],11/21/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Steven  [Upgrade to see in full],Nachos  [Upgrade to see in full],1/11/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Juanika [Upgrade to see in full],My frie [Upgrade to see in full],5/8/201 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Thea C.,I love  [Upgrade to see in full],6/2/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Robert  [Upgrade to see in full],I had a [Upgrade to see in full],6/12/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Summer  [Upgrade to see in full],Love th [Upgrade to see in full],3/26/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Alex N.,Drinks  [Upgrade to see in full],1/14/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
T B.,Unfortu [Upgrade to see in full],2/3/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Taylor  [Upgrade to see in full],I don't [Upgrade to see in full],4/1/201 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Elana B [Upgrade to see in full],I just  [Upgrade to see in full],10/1/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Desi M.,I love  [Upgrade to see in full],3/23/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Sean S.,Went in [Upgrade to see in full],1/31/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Chris A [Upgrade to see in full],Good fo [Upgrade to see in full],5/4/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Angela  [Upgrade to see in full],This is [Upgrade to see in full],12/31/2 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Frankie [Upgrade to see in full],I came  [Upgrade to see in full],5/26/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Celine  [Upgrade to see in full],I love  [Upgrade to see in full],2/21/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Julie W [Upgrade to see in full],More 3. [Upgrade to see in full],4/6/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Rebekah [Upgrade to see in full],These a [Upgrade to see in full],5/22/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
S G.,My boyf [Upgrade to see in full],6/6/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Tierney [Upgrade to see in full],The can [Upgrade to see in full],6/12/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
MinhDuy [Upgrade to see in full],came he [Upgrade to see in full],3/19/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Jeff G.,Wasn't  [Upgrade to see in full],5/31/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
