,Accepts Credit Cards,Alcohol,Bike Parking,Category,Caters,Delivery,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount
42,Yes,Beer & Wine Only,Yes,Korean,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,,,,No,A,,,Average,No,Street,Yes,Yes,Yes,No,No,$11-30,Mokja,Manhattan Valley,4,118
43,Yes,,,Sushi,,No,,,Yes,Yes,,,,Yes,A,Yes,Yes,,No,,Yes,No,,,Free,$11-30,Hula Poke,Morningside Heights,4,35
44,No,No,Yes,Italian,No,Yes,,"Lunch, Late Night",Yes,Yes,,,,No,A,,Yes,Average,No,Street,Yes,No,No,,No,Under $10,Koronet Pizza,Morningside Heights,3.5,583
45,Yes,Full Bar,Yes,French,Yes,No,Yes,Dinner,Yes,No,,,,No,,Yes,Yes,Average,Yes,Street,No,Yes,Yes,No,No,$31-60,Tastings Social Presents Mountain Bird,East Harlem,4.5,136
46,Yes,Full Bar,Yes,Ethiopian,Yes,Yes,Yes,Dinner,Yes,Yes,,,,No,A,,Yes,Average,No,Street,Yes,Yes,Yes,Yes,No,$11-30,Awash Ethiopian Restaurant,Manhattan Valley,4,428
47,Yes,No,Yes,Burgers,Yes,No,Yes,,Yes,Yes,,,,Yes,,,,Loud,No,,Yes,No,No,,Free,$11-30,JJ's Place,Morningside Heights,5,4
48,Yes,Beer & Wine Only,Yes,Italian,No,No,Yes,Lunch,Yes,Yes,Yes,,,No,A,,,Average,Yes,Street,Yes,No,,,Free,$11-30,Max Caffe,Morningside Heights,3.5,213
49,Yes,Full Bar,Yes,Mexican,Yes,Yes,Yes,Dinner,Yes,Yes,Yes,,,Yes,A,,Yes,Average,Yes,"Garage, Street",Yes,Yes,Yes,Yes,Free,$11-30,Casa Mexicana,Manhattan Valley,4,170
50,Yes,Beer & Wine Only,Yes,Ramen,No,No,Yes,"Lunch, Dinner",No,Yes,,,,No,C,,Yes,Average,No,Street,Yes,No,Yes,,No,$11-30,Naruto Ramen,Manhattan Valley,4,197
51,Yes,,,Italian,,Yes,,,Yes,Yes,,,,,A,,,,,,Yes,No,,,,Under $10,Sliced By Harlem Pizza,Morningside Heights,3.5,16
52,No,No,Yes,Indian,Yes,Yes,Yes,"Lunch, Dinner",No,Yes,,,,Yes,,,Yes,Average,No,Street,Yes,No,,,No,Under $10,Doaba Deli,Manhattan Valley,4.5,215
53,Yes,No,No,Delis,,Yes,,,No,Yes,,,,No,,,,Average,No,Street,Yes,No,,,No,Under $10,Olive Tree Deli,Morningside Heights,4,33
54,Yes,Beer & Wine Only,Yes,Desserts,Yes,Yes,,"Brunch, Dessert",Yes,Yes,,,,Yes,A,,,Average,Yes,Street,Yes,No,Yes,,Free,$11-30,Artopolis,Morningside Heights,3,272
55,Yes,Full Bar,No,Mexican,No,Yes,Yes,"Brunch, Lunch, Dinner",Yes,No,Yes,,,Yes,,Yes,Yes,Average,No,Street,Yes,No,Yes,,Free,$11-30,Cantina Taqueria & Tequila Bar,Harlem,4,409
56,Yes,Full Bar,Yes,Traditional American,Yes,Yes,Yes,"Brunch, Dinner",Yes,Yes,Yes,,,No,C,,Yes,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Melba's,Harlem,4,871
59,Yes,Full Bar,Yes,Seafood,No,Yes,Yes,Dinner,Yes,Yes,Yes,,,Yes,A,,,Average,No,Street,Yes,No,Yes,Yes,Free,$11-30,Loui Loui,Harlem,4,87
60,Yes,No,Yes,African,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,,,,No,A,Yes,Yes,Average,No,,Yes,Yes,Yes,Yes,Free,$11-30,Safari Restaurant NYC,Harlem,4.5,155
62,Yes,Beer & Wine Only,Yes,Mexican,Yes,Yes,,Lunch,Yes,Yes,,,,No,A,,,Quiet,No,,Yes,No,,,No,$11-30,Oaxaca Taqueria,Morningside Heights,3,49
63,Yes,No,Yes,Indian,Yes,Yes,,"Lunch, Dinner",Yes,Yes,,,,Yes,B,,,Average,No,Street,Yes,No,No,,No,Under $10,Chapati House,Harlem,4,195
66,Yes,Beer & Wine Only,Yes,Greek,Yes,Yes,,"Lunch, Dinner",Yes,Yes,,,,No,,,,Average,Yes,"Garage, Street",Yes,Yes,,,Free,$11-30,Greek Taverna,,3.5,208
67,Yes,Beer & Wine Only,,Italian,,Yes,,Lunch,No,Yes,,,,No,A,,,,No,,Yes,No,No,Yes,No,$11-30,MAMA'S TOO!,Manhattan Valley,4,96
68,Yes,No,Yes,Mexican,No,Yes,,Breakfast,No,Yes,,,,Yes,,,,,No,,Yes,No,No,,No,Under $10,Panchos,Manhattan Valley,4.5,56
70,Yes,Full Bar,No,Italian,Yes,Yes,,Dinner,Yes,Yes,Yes,,,Yes,,,,Loud,Yes,Street,Yes,Yes,,,Free,$11-30,Carmine's Italian Restaurant - Upper West Side,Upper West Side,4,1155
72,Yes,No,No,Korean,No,No,Yes,"Lunch, Dinner",Yes,Yes,,,,No,,,Yes,Average,Yes,Private Lot,Yes,No,Yes,Yes,No,$11-30,SGD Dubu So Gong Dong Tofu & BBQ,,4,122
75,Yes,Full Bar,Yes,Chinese,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,,,,Yes,B,,Yes,Average,No,Street,Yes,No,,,No,$11-30,Flor de Mayo,Manhattan Valley,4,504
76,Yes,No,No,Indian,Yes,Yes,,"Lunch, Dinner",Yes,Yes,,,,No,,Yes,Yes,Average,No,Street,Yes,Yes,Yes,,No,$11-30,Namaste India,,4,235
